
1000	0.00342845
2000	0.0137047
3000	0.0247201
4000	0.0380892
5000	0.0482169
6000	0.0566623
7000	0.066322
8000	0.0860492
9000	0.111067
10000	0.189919
11000	0.217406
12000	0.242212
13000	0.231104
14000	0.313095
15000	0.358352
16000	0.398121
17000	0.456978
18000	0.426307
19000	0.55054
20000	0.576666
21000	0.629821
22000	0.63589
23000	0.704128
24000	0.808258
25000	0.825565
26000	0.945834
27000	1.05395
28000	1.08369
29000	1.10813
30000	1.18661
31000	1.3277
32000	1.34932
33000	1.51573
34000	1.56134
35000	1.6972
36000	1.71004
37000	1.80565
38000	1.90822
39000	2.00191
40000	2.18953
41000	2.27183
42000	2.35262
43000	2.45724
44000	2.60261
45000	2.72741
46000	2.82727
47000	2.97801
48000	3.08732
49000	3.20131
50000	3.33074
